id,task,sid,eye,stimfile,trialid,start_ms,end_ms,duration_ms,start_x,end_y,start_y,ampl_x,ampl_y,avg_vel_x,avg_vel_y,peak_vel_x,peak_vel_y,end_x,avg_vel,peak_vel,ampl
31,T1_Syllables,1003,b,s7_stimuli_t1.jpg,12,345461.684,345505.683,43.99900000001071,960.645,327.365,314.31,108.16499999999996,13.055000000000007,64.66678878665996,9.342827233846254,180.92848577338805,25.419432843116926,1068.81,67.10773635464935,181.0627456970887,108.94998967416194
32,T1_Syllables,1003,b,s7_stimuli_t1.jpg,12,345741.744,345769.733,27.989000000001397,1081.66,323.18,321.735,87.95999999999981,1.4449999999999932,82.94058933876586,17.167034808215725,127.95035852512483,34.536971222367335,1169.62,85.82579804164736,128.5855759039859,87.97186837279271
33,T1_Syllables,1003,b,s7_stimuli_t1.jpg,12,345953.693,346025.688,71.99499999999534,1183.4850000000001,308.035,319.26,91.11500000000024,11.224999999999966,37.81965505971684,12.381416927155431,292.0439625869624,31.141271542602514,1092.37,43.82368522244232,292.92917804293694,91.80383352562158
34,T1_Syllables,1003,b,s7_stimuli_t1.jpg,12,346301.652,346329.652,28.0,1087.65,306.875,305.69500000000005,87.58999999999992,1.17999999999995,82.29488533463702,10.222266839146604,212.59590340329834,13.646914139577545,1175.24,84.63161902802696,212.89664787189324,87.59794803532778
35,T1_Syllables,1003,b,s7_stimuli_t1.jpg,12,346561.721,346633.709,71.9879999999539,1202.37,292.71500000000003,307.70500000000004,106.15999999999985,14.990000000000009,40.253855968153836,7.472970040614292,238.14063967007414,23.117543711139827,1096.21,42.98816477204349,238.18389554688673,107.21308548866584
36,T1_Syllables,1003,b,s7_stimuli_t1.jpg,12,346801.539,346825.492,23.95300000003772,1081.54,315.69,315.375,117.85500000000002,0.3149999999999977,129.43612585891842,13.602236907366937,234.20881691926024,24.646622827181663,1199.395,130.7195957312827,235.50207204928137,117.85542096144752
37,T1_Syllables,1003,b,s7_stimuli_t1.jpg,12,347497.608,347529.624,32.01600000000326,1211.825,320.34000000000003,325.02,94.15499999999997,4.67999999999995,77.36644935430768,9.1207858088525,207.6581071706538,19.81922105503709,1305.98,78.45695011174759,208.0885332814612,94.2712385884475
38,T1_Syllables,1003,b,s7_stimuli_t1.jpg,12,348505.255,348561.284,56.02899999998044,1323.1100000000001,321.43,314.1,878.2700000000001,7.329999999999984,412.3777043271051,14.898426837004692,622.9085861187422,48.38124940798471,444.84000000000003,413.260656109247,623.2504745038904,878.3005873845242
39,T1_Syllables,1003,b,s7_stimuli_t1.jpg,12,348701.384,348753.412,52.02799999999115,412.80999999999995,383.95000000000005,340.95,55.51999999999998,43.00000000000006,41.30268670725252,21.742294263064647,204.28742348106704,57.09118900928659,357.28999999999996,48.558616759488814,207.5353151384395,70.22442879796178
40,T1_Syllables,1003,b,s7_stimuli_t1.jpg,12,349201.649,349225.583,23.934000000008382,341.53,387.26,386.555,104.625,0.7049999999999841,114.99965401664285,6.58946643564904,262.1827237523518,12.332579384150401,446.155,115.31111697516712,262.47261409234375,104.62737524185532
